pokerId Ascore Bscore 
3677589331 0 592502
218417521 0 747752
36415193677 0 701013
2717999741 1 12967
198595103 0 750888
10028665013 0 700278
82664799 1 50093
58663934383 1 26723
451619373 0 754998
8936888531 1 16584
42842785199 1 43128
587685461 2 2512
1172227211 0 639272
48971455987 1 26499
433364017 0 480197
24169102 1 23507
4028392799 1 23088
14609381441 0 693544
8810833853 0 700503
17605858159 1 23344
71232808159 0 700986
24910410023 2 3034
12990262 0 743897
344390573 0 527447
7892815177 0 643397
7178268683 1 46412
90746914 1 26943
166195275263 2 2859
61394798 0 754263
20454263803 0 694009
208973077 1 12887
4121897977 1 38763
254885889 0 751579
53609605 1 50119
6698913799 0 686779
5947671719 0 700532
392788253 1 9621
1065846939 0 748266
126365847 0 750918
12163416901 0 646953
22862176087 0 646968
7011928531 0 690168
13845116129 2 2627
2275719331 0 693722
5551155745 1 43824
403859062 0 751849
556344818 0 754985
107819147 6 50
36133071713 1 33410
2329647923 1 12742
1251948733 1 40428
2055400087 0 585302
555904369 0 578297
3005973309 1 47211
143308459 1 20178
38932517089 3 2210
113508473 1 9138
57286855489 1 26709
128815917 1 16851
3353046787 0 635913
3319563619 1 13237
73438673 0 744572
3383242939 1 19698
34165505 0 740987
744263819 1 19217
16565213123 0 639769
2897664709 1 19444
5190189247 0 699813
3156998 0 729947
2185788761 0 592712
4214873333 0 646517
144269021 2 1834
235790995 0 755207
9008643491 0 697563
210757495 0 751397
400907553 0 748024
1296430369 1 23252
6190433839 1 42377
1183035299 1 12920
11070248141 1 42407
3856864611 1 47213
3896353451 0 699813
85530335 0 744167
3564143449 0 690152
248457053 1 9139
12190343 3 544
5446383059 1 36317
3575708441 3 1090
5986045 1 10023
3736312441 0 639738
1864857967 1 30350
109078081 1 16760
91592237 1 15572
23613395741 1 43577
126145186 1 40353
592419641 1 25922
9897891349 0 639543
12395313643 1 45304
90241563 1 16835
123949445 0 751772
899576299 1 35147
44754927 1 49627
11043291599 1 33408
217124153 1 8645
5513588699 0 700712
1048170151 1 37038
5576766239 0 697577
36303852503 1 30110
510217309 0 748203
840118081 0 686522
896464517 1 9607
37959686 0 740988
57685083 1 23537
786125398 0 755494
2900639263 0 696662
265498707 0 755222
91853134 1 16822
138700214 1 43728
46471664647 1 36590
6935362339 1 40113
6702144733 1 16131
141658297 1 9544
25778881721 1 33003
7343688521 0 646532
1484370019 0 639512
79771857 1 36992
222227426 5 751863
1097026023 0 748266
138802999 0 422822
2147618713 1 12516
1045764911 0 693047
1669876859 1 40458
1489533889 1 16128
574555387 0 755418
31555430 1 50107
18809647039 0 643159
1709994997 0 642647
1430646113 1 26612
150027478 1 23599
16777709521 1 16614
404149963 1 20224
3710043301 1 15890
4536385 2 3203
1256568637 1 12951
64673404541 0 701000
7501902 1 50060
488770843 1 31772
131385821 0 747513
3353833573 3 1698
1950020855 0 751880
59293053499 1 30111
326924386 0 748024
355830923 1 16809
72129449 0 733788
8512138 0 733772
1263113011 1 12740
10489930979 0 700997
58860554971 1 42875
606227089 1 9845
4358130551 1 23298
90740014961 1 36592
63098426 1 23524
24502140683 1 26255
437413737 0 754745
38560409299 0 646760
7956597697 1 29793
4425430603 0 693767
88753333549 0 647017
8622301489 0 693753
16743742927 1 23120
1562540239 0 645812
1660070467 0 484292
12509450867 0 700982
35396610187 1 26468
623618637 0 755224
12887183033 2 2149
2070329411 1 26177
1116943361 1 16083
22411461 0 733563
847194649 0 747545
47725438231 0 694011
9007595501 0 646518
469624043 0 740794
1137376453 0 429813
930759377 1 19413
19786547017 1 39468
56136215 1 13431
8650977037 0 700053
3150404179 0 643127
11533001141 0 639769
789697347 1 47178
796965 2 3227
49877776853 1 33455
172522389 0 755417
745076227 0 751593
2552624939 1 42572
505241483 1 34697
2325605497 0 632313
96954689 1 9078
5001522719 1 16327
83783105 1 49866
27143756767 0 701208
6763322977 1 22639
24547835 0 743672
6058263709 1 25773
194663613 1 16839
5640340051 0 686778
5785039357 0 534904
104190634 1 16809
8914085977 1 19492
47775892963 1 26483
999197129 0 741035
142665214 1 23570
140324253 0 751367
175454475733 0 701018
155921052499 1 40208
3975074365 0 755482
770827511 0 689447
15946005667 2 1678
1746372889 0 645812
124211305 0 733804
97024167967 0 701255
43422144169 1 39500
166598480747 0 701018
1855460783 0 700037
6472022651 1 26629
78818155 0 744587
39063350593 0 700984
4399811893 1 36287
187895738 1 20198
8930704633 0 592054
11196856747 0 696904
47076768553 1 36844
243907223 0 737404
2064285817 0 589112
2375553571 1 16085
172563079 1 12242
197181538 0 751862
2593343203 0 592502
29459337913 1 46458
9135238877 0 643368
56483610607 0 646986
31157003543 0 646984
20431887 1 49624
3769143373 0 686792
41617380977 0 701209
1124352113 0 635897
31383289381 1 39470
138270057 0 748188
10655472521 3 1538
4904198 0 740297
27517582583 1 39484
763169597 1 18963
1871274395 0 751626
2055085561 3 1458
427097305 0 744170
3148286189 1 19473
1019573773 3 1040
4584497761 1 19909
57507872549 0 701225
22679247013 1 29839
71531735 0 744167
28492849 0 740522
381584666 1 43759
7131682051 1 42392
208979403 0 748233
50554763 0 737162
87064873 1 23478
6948998 1 48920
152034695 1 26868
661290751 0 534647
10265953837 0 592773
7423183163 0 697607
